,ground.x,ground.y,ground.z,ground.e0,ground.e1,ground.e2,ground.e3,PD.rbs_crank.x,PD.rbs_crank.y,PD.rbs_crank.z,PD.rbs_crank.e0,PD.rbs_crank.e1,PD.rbs_crank.e2,PD.rbs_crank.e3
311,0.0,0.0,0.0,1.0,-4.941300415472466e-25,0.0,0.0,0.0,166.7751802239025,-186.24189760944137,-0.9340684214094866,-0.3570941408601389,0.0,0.0
312,0.0,0.0,0.0,1.0,9.199829952232237e-25,0.0,0.0,0.0,178.1623974976315,-175.38005953293762,-0.9223665972493815,-0.38631580551363465,0.0,0.0
313,0.0,0.0,0.0,1.0,-5.187517791853918e-26,0.0,0.0,0.0,188.84366915252096,-163.82330049444738,-0.9097508569077701,-0.41515469365843494,0.0,0.0
314,0.0,0.0,0.0,1.0,-2.4429175782251254e-26,0.0,0.0,0.0,198.77667202142672,-151.61741266743385,-0.8962337005437783,-0.4435822306186938,0.0,0.0
315,0.0,0.0,0.0,1.0,3.2177557643388412e-25,0.0,0.0,0.0,207.9220478561662,-138.81076031482183,-0.881828521474085,-0.4715702493010773,0.0,0.0
316,0.0,0.0,0.0,1.0,3.481392990355458e-24,0.0,0.0,0.0,216.2435592795276,-125.45408815181048,-0.8665495929023035,-0.4990910181038156,0.0,0.0
317,0.0,0.0,0.0,1.0,1.0944518245985746e-24,0.0,0.0,0.0,223.70823337122056,-111.60032027645946,-0.8504120537765476,-0.5261172683942292,0.0,0.0
318,0.0,0.0,0.0,1.0,8.166004438487047e-25,0.0,0.0,0.0,230.28649231883844,-97.30435046474732,-0.8334318937891814,-0.5526222215275367,0.0,0.0
319,0.0,0.0,0.0,1.0,-1.9943844792582666e-24,0.0,0.0,0.0,235.95227061614148,-82.62282466103373,-0.8156259375336183,-0.5785796153801628,0.0,0.0
320,0.0,0.0,0.0,1.0,1.521070116248128e-24,0.0,0.0,0.0,240.68311834427786,-67.61391652577998,-0.7970118278338699,-0.6039637303712574,0.0,0.0
321,0.0,0.0,0.0,1.0,2.1355360954945177e-25,0.0,0.0,0.0,244.46029012670343,-52.337096929890706,-0.7776080082633585,-0.6287494149466412,0.0,0.0
322,0.0,0.0,0.0,1.0,-1.5255309154992145e-24,0.0,0.0,0.0,247.2688194053294,-36.85289830902562,-0.7574337048703187,-0.6529121104999308,0.0,0.0
323,0.0,0.0,0.0,1.0,2.329882859117383e-25,0.0,0.0,0.0,249.0975777435863,-21.222674811596583,-0.7365089071278901,-0.676427875706148,0.0,0.0
324,0.0,0.0,0.0,1.0,3.375414926563985e-24,0.0,0.0,0.0,249.93931892142444,-5.508359190838453,-0.7148543481277865,-0.6992734102436962,0.0,0.0
325,0.0,0.0,0.0,1.0,5.3647349024783635e-24,0.0,0.0,0.0,249.7907076475309,10.227782595780345,-0.692491484037143,-0.7214260778812244,0.0,0.0
326,0.0,0.0,0.0,1.0,2.1292295822541465e-24,0.0,0.0,0.0,248.65233277499237,25.923398107409735,-0.6694424728389332,-0.7428639289064622,0.0,0.0
327,0.0,0.0,0.0,1.0,-4.5465498060745364e-24,0.0,0.0,0.0,246.52870496804087,41.51629548335756,-0.6457301523769894,-0.7635657218748371,0.0,0.0
328,0.0,0.0,0.0,1.0,-3.1668398012341464e-24,0.0,0.0,0.0,243.42823882912597,56.94468987035431,-0.6213780177273865,-0.7835109446563174,0.0,0.0
329,0.0,0.0,0.0,1.0,-3.2826578937863793e-24,0.0,0.0,0.0,239.36321955713214,72.14744823709965,-0.5964101979186183,-0.8026798347596168,0.0,0.0
330,0.0,0.0,0.0,1.0,-2.1834102276576126e-24,0.0,0.0,0.0,234.34975426885828,87.06433160604014,-0.5708514320236433,-0.8210533989136193,0.0,0.0
